Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Phospholipid Metabolic Process (GO:0006644),GO_Biological_Process_2025,1.1070435497792248,Upregulated,0.4382503147882263,23/57,32.26%
Negative Regulation of Autophagy (GO:0010507),GO_Biological_Process_2025,1.1067753935441298,Upregulated,0.4385804093800137,18/55,23.46%
Regulation of Innate Immune Response (GO:0045088),GO_Biological_Process_2025,1.1063734678359454,Upregulated,0.4391739952589649,16/61,18.78%
Leptin Insulin Signaling Overlap WP3935,WikiPathways_2024_Human,1.1061842071029206,Upregulated,0.4393364419980115,5/16,22.15%
Negative Regulation of Protein Kinase Activity (GO:0006469),GO_Biological_Process_2025,1.106027783137075,Upregulated,0.439437865637991,14/51,18.02%
Protein Depolymerization (GO:0051261),GO_Biological_Process_2025,1.1057576117665338,Upregulated,0.439763910301894,8/19,20.28%
Selenium Metabolism And Selenoproteins WP28,WikiPathways_2024_Human,1.10535113893748,Upregulated,0.4403359838340477,9/37,19.01%
Proteoglycan Biosynthetic Process (GO:0030166),GO_Biological_Process_2025,1.104993574059179,Upregulated,0.440812320076313,11/44,16.52%
Diacylglycerol Metabolic Process (GO:0046339),GO_Biological_Process_2025,1.1049252513748815,Upregulated,0.4407654530879772,10/20,26.25%
Nucleotide Salvage R-HSA-8956321,Reactome_2022,1.1043648697965809,Upregulated,0.4416554357709426,6/21,16.74%
Regulation of Lipid Metabolic Process (GO:0019216),GO_Biological_Process_2025,1.1042738607475144,Upregulated,0.441651141764451,15/39,24.57%
Negative Regulation of Gene Expression (GO:0010629),GO_Biological_Process_2025,1.1042059418557302,Upregulated,0.441602279427331,80/305,22.69%
Signaling To RAS R-HSA-167044,Reactome_2022,1.1041903599256886,Upregulated,0.4414486530329372,9/18,23.46%
Guanyl Ribonucleotide Binding (GO:0032561),GO_Molecular_Function_2025,1.103769097756907,Upregulated,0.4420513880450371,58/182,24.46%
Positive Regulation of Alcohol Biosynthetic Process (GO:1902932),GO_Biological_Process_2025,1.103523390662016,Upregulated,0.442321654759822,10/16,35.18%
Defense Response to Fungus (GO:0050832),GO_Biological_Process_2025,1.1032215580505569,Upregulated,0.4426866168517347,14/23,33.37%
Cargo Concentration In ER R-HSA-5694530,Reactome_2022,1.1029633804920602,Upregulated,0.4429851882106074,5/23,13.49%
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome_2022,1.10282067948389,Upregulated,0.4430701056702897,9/40,12.36%
Regulation of Protein-Containing Complex Disassembly (GO:0043244),GO_Biological_Process_2025,1.10248902003788,Upregulated,0.4435163923000294,8/17,28.67%
